BOX,2002_inhabitants,2003_inhabitants,2004_inhabitants,2005_inhabitants,2006_inhabitants,2007_inhabitants,2008_inhabitants,2009_inhabitants,2010_inhabitants,2011_inhabitants,2012_inhabitants,2013_inhabitants,Num_Chicks_Banded,%Successful,with_chicks,w/o_chicks,Total,Years Up,
32,EMPTY,FAIL,FAILED,KESTREL,KESTREL,KESTREL,KESTREL,EMPTY,Empty,KESTREL,Empty,broken,14,71.4,5,2,7,11,
33,EMPTY,STARLING,EMPTY,BEES,BEES,MOVED,FAILED,FAILED,Empty,Roost,Empty,Empty,0,0,0,2,2,11,
34,EMPTY,EMPTY,BEES,EMPTY,EMPTY,MOVED,KESTREL,DOWN,Down,Failed,Failed,Failed,4,25,1,3,4,9,
35,EMPTY,EMPTY,FAILED,EMPTY,EMPTY,EMPTY,Empty,KESTREL,Empty,empty,KESTREL,KESTREL,9,75,3,1,4,12,
36,FAIL,FAIL,FAILED,EMPTY,EMPTY,EMPTY,GRACKLE,STARLING,KESTREL,KESTREL,Failed,KESTREL,11,42.9,3,4,7,12,
37,FAIL,MOUSE,FAILED,EMPTY,DOWN,MOVED,STARLING,KESTREL,KESTREL,empty,KESTREL,KESTREL,12,66.7,4,2,6,10,
38,FAIL,EMPTY,GRACKLE,GRACKLE,EMPTY,EMPTY,Empty,EMPTY,Grackles,down,Failed,Empty,0,0,0,2,2,12,
39,EMPTY,GRACKLE,GRACKLE,KESTREL,KESTREL,KESTREL,KESTREL,KESTREL,KESTREL,empty,Empty,Failed,16,85.7,6,1,7,12,
40,EMPTY,KESTREL,BEES,BEES,KESTREL,EMPTY,SQUIRREL,MICE,KESTREL,Failed,Starling,Empty,8,75,3,1,4,12,
41,EMPTY,FAIL,GRACKLE,STARLING,EMPTY,EMPTY,Empty,STARLING,Down,grackle,Failed,Empty,0,0,0,2,2,11,
42,EMPTY,GRACKLE,EMPTY,STARLING,GRACKLE,GRACKLE,GRACKLE,EMPTY,KESTREL,KESTREL,Empty,Empty,4,100,1,0,1,12,
43,EMPTY,EMPTY,GRACKLE,GRACKLE,EMPTY,FAILED,KESTREL,KESTREL,KESTREL,KESTREL,KESTREL,KESTREL,21,83.3,5,1,6,12,
